method,config,seed,composite,weighted_tardiness,setup_cost,makespan
SPT,small_2m,13,0.3333333333333333,0.0,83.82291412353516,147.6416778564453
SPT,small_2m,14,0.3333333333333333,0.0,57.176612854003906,143.50306701660156
SPT,small_2m,15,0.27728621580576035,0.0,59.474002838134766,130.33535766601562
SPT,small_2m,16,0.19787714808627102,0.0,49.593162536621094,198.39678955078125
SPT,small_2m,17,0.3333333333333333,0.0,45.57307434082031,139.59133911132812
SPT,small_2m,18,0.3333333333333333,0.0,83.98798370361328,161.53924560546875
SPT,small_2m,19,0.3333333333333333,0.0,44.71631622314453,146.65879821777344
SPT,small_2m,20,0.29513795480868515,0.0,50.32194900512695,129.42396545410156
SPT,small_2m,21,0.17405074528001813,0.0,42.52009963989258,133.11495971679688
SPT,small_2m,22,0.3333333333333333,0.0,49.03687286376953,160.75498962402344
SPT,small_2m,23,0.21171792847471366,0.0,25.7947998046875,154.4449005126953
SPT,small_2m,24,0.2762999381385646,0.0,63.575923919677734,167.76499938964844
SPT,small_2m,25,0.2872346630949066,0.0,47.78759765625,131.2836456298828
SPT,small_2m,26,0.3333333333333333,0.0,55.53204345703125,170.0279083251953
SPT,small_2m,27,0.28730408599247986,0.0,38.19761657714844,161.87283325195312
SPT,small_2m,28,0.3333333333333333,0.0,60.33863830566406,196.03897094726562
SPT,small_2m,29,0.2893505535465588,0.0,62.747528076171875,154.8946075439453
SPT,small_2m,30,0.3333333333333333,0.0,83.40678405761719,139.08172607421875
SPT,small_2m,31,0.2802476435660422,0.0,47.29231262207031,183.13873291015625
SPT,small_2m,32,0.3333333333333333,0.0,65.79191589355469,117.82058715820312
SPT,small_2m,33,0.24549156456545784,0.0,43.899200439453125,120.68628692626953
SPT,small_2m,34,0.3333333333333333,0.0,64.12638854980469,179.4662628173828
SPT,small_2m,35,0.19718695005199294,0.0,53.868350982666016,153.53306579589844
SPT,small_2m,36,0.271893724972731,0.0,27.474037170410156,130.89015197753906
SPT,small_2m,37,0.3333333333333333,0.0,50.24311065673828,131.407958984375
SPT,small_2m,38,0.3333333333333333,0.0,44.65909957885742,144.9901123046875
SPT,small_2m,39,0.3118111597950049,0.0,47.099998474121094,206.7681427001953
SPT,small_2m,40,0.4201343440479228,15.973709106445312,51.68645477294922,153.241455078125
SPT,small_2m,41,0.27894974049729965,0.0,57.81720733642578,142.0391387939453
SPT,small_2m,42,0.3231664808808237,0.0,50.58906555175781,186.82765197753906
SPT,small_2m,43,0.3333333333333333,0.0,77.39009094238281,134.8769073486328
SPT,small_2m,44,0.29505451773704566,0.0,92.0066909790039,196.32191467285156
SPT,small_2m,45,0.3333333333333333,0.0,48.08262634277344,137.5685272216797
SPT,small_2m,46,0.2571353624637194,0.0,49.053321838378906,210.4261016845703
SPT,small_2m,47,0.2927557290170702,0.0,57.109130859375,159.31199645996094
SPT,small_2m,48,0.25132540201657794,0.0,50.40126037597656,149.74136352539062
SPT,small_2m,49,0.29190808992880557,0.0,60.81220626831055,156.1455535888672
NN-Greedy,small_2m,0,0.39431216874289415,195.81353759765625,32.50994873046875,187.8343048095703
NN-Greedy,small_2m,1,0.23516529580511436,34.83185577392578,29.380098342895508,167.03045654296875
NN-Greedy,small_2m,2,0.3081710474899863,0.0,52.11211395263672,146.06961059570312
NN-Greedy,small_2m,3,0.2772507566371134,0.0,39.14470291137695,121.61109924316406
NN-Greedy,small_2m,4,0.28696415611839604,0.0,57.60472869873047,151.41110229492188
NN-Greedy,small_2m,5,0.4085107562160965,19.373680114746094,39.31172561645508,175.225341796875
NN-Greedy,small_2m,6,0.21645753124513373,0.0,36.14765548706055,143.0784149169922
NN-Greedy,small_2m,7,0.19083038009054343,39.46277618408203,21.188993453979492,129.2783203125
NN-Greedy,small_2m,8,0.23078070321685326,0.0,26.391544342041016,152.13494873046875
NN-Greedy,small_2m,9,0.5034586030000335,117.80717468261719,65.86530303955078,183.72164916992188
NN-Greedy,small_2m,10,0.3821085668428768,106.03864288330078,61.505558013916016,167.93780517578125
NN-Greedy,small_2m,11,0.2067208780385033,0.0,40.1845817565918,148.8189239501953
NN-Greedy,small_2m,12,0.31594333288697557,3.0755157470703125,47.72340393066406,144.9295654296875
NN-Greedy,small_2m,13,0.145141257063642,0.0,36.49848937988281,137.67919921875
NN-Greedy,small_2m,14,0.26285910906219295,0.0,45.08818054199219,131.38555908203125
NN-Greedy,small_2m,15,0.16968735498308973,26.907302856445312,29.098806381225586,115.91182708740234
NN-Greedy,small_2m,16,0.357011086351205,0.5209503173828125,88.96102905273438,194.28549194335938
NN-Greedy,small_2m,17,0.16957480392645963,0.0,23.18413543701172,136.91575622558594
NN-Greedy,small_2m,18,0.15130027570581314,0.0,38.122215270996094,152.0634765625
NN-Greedy,small_2m,19,0.23480744741662354,0.0,31.49917221069336,147.61048889160156
NN-Greedy,small_2m,20,0.1387217909600608,0.0,22.44668960571289,117.7280044555664
NN-Greedy,small_2m,21,0.15861991151534058,0.0,33.30839157104492,124.10646057128906
NN-Greedy,small_2m,22,0.17653967997776437,0.0,29.51628303527832,178.18386840820312
NN-Greedy,small_2m,23,0.18934841595590313,0.0,29.971481323242188,160.0023956298828
NN-Greedy,small_2m,24,0.18602399043029164,0.0,39.300048828125,171.29563903808594
NN-Greedy,small_2m,25,0.1945335472205534,9.603652954101562,22.79650115966797,130.53762817382812
NN-Greedy,small_2m,26,0.1878280858673031,0.0,37.93136978149414,182.9628448486328
NN-Greedy,small_2m,27,0.3207189873376828,139.49444580078125,33.64649963378906,161.42247009277344
NN-Greedy,small_2m,28,0.29490909553766864,0.0,53.38323974609375,193.10740661621094
NN-Greedy,small_2m,29,0.25247007578870984,0.0,47.52561950683594,146.0850830078125
NN-Greedy,small_2m,30,9.516291936532458,134.82728576660156,45.28112030029297,136.37661743164062
NN-Greedy,small_2m,31,0.4371358870532476,245.00515747070312,34.13190460205078,183.96975708007812
NN-Greedy,small_2m,32,0.1857563219227274,0.0,39.26042175292969,114.74278259277344
NN-Greedy,small_2m,33,0.18874933885947806,0.0,29.235811233520508,123.80933380126953
NN-Greedy,small_2m,34,0.16726764190308874,0.0,42.886592864990234,161.2848358154297
NN-Greedy,small_2m,35,0.12623876757967326,0.0,26.061161041259766,145.446044921875
NN-Greedy,small_2m,36,0.2459816053868813,76.6955795288086,21.440814971923828,126.66458129882812
NN-Greedy,small_2m,37,0.2592590260735718,52.929107666015625,24.285062789916992,137.67584228515625
NN-Greedy,small_2m,38,0.24623957175054723,21.764556884765625,29.487611770629883,142.6395263671875
NN-Greedy,small_2m,39,19.06884835859404,37.77854919433594,25.37377166748047,211.67172241210938
NN-Greedy,small_2m,40,0.4699745802547268,61.342254638671875,26.07235336303711,149.81272888183594
NN-Greedy,small_2m,41,0.5803984053802453,115.1674575805664,57.55828857421875,138.42771911621094
NN-Greedy,small_2m,42,0.22109518115773527,0.0,41.67511749267578,180.80453491210938
NN-Greedy,small_2m,43,0.24160765944699458,0.0,56.0941162109375,135.22116088867188
NN-Greedy,small_2m,44,0.21687340131237604,0.0,59.861412048339844,176.884033203125
NN-Greedy,small_2m,45,0.21947756999074092,0.0,31.6591739654541,139.7850341796875
NN-Greedy,small_2m,46,0.1953796226711196,41.52378845214844,36.33466339111328,211.7626495361328
NN-Greedy,small_2m,47,0.16471162961324218,0.0,28.219614028930664,165.34764099121094
NN-Greedy,small_2m,48,0.18706089377996327,0.0,35.6455192565918,152.7461395263672
NN-Greedy,small_2m,49,0.24807713494518518,0.0,47.26048278808594,159.06094360351562
SPT,small_3m,0,0.28435132569916044,0.0,54.071651458740234,136.9010467529297
SPT,small_3m,1,0.4089124537861939,51.452980041503906,38.186500549316406,120.83733367919922
SPT,small_3m,2,0.2476943160351006,0.0,40.72592544555664,121.5980453491211
SPT,small_3m,3,0.15351003730298662,0.0,28.777851104736328,94.79110717773438
SPT,small_3m,4,0.16071882992726846,0.0,38.17200469970703,116.1496810913086
